bugfix,:ambulance:,`:ambulance:`,Bug fix  
dev,:bangbang:,`:bangbang:`,DEV Certified (No QA Needed)
doc,:books:,`:books:`,Documentation  
feature,:sparkles:,`:sparkles:`,New Feature  
frontend,:art:,`:art:`,Front-end features 
idea,:bulb:,`:bulb:`,New Idea
ignore,:see_no_evil:,`:see_no_evil:`,add to .ignore 
init,:tada:,`:tada:`,Initial Commit  
inter,:globe_with_meridians:,`:globe_with_meridians:`,Internationalization  
log-,:speak_no_evil:,`:speak_no_evil:`,reducing logging
log+,:flashlight:,`:flashlight:`,adding logging
memory,:non-potable_water:,`:non-potable_water:`,plugging memory leaks
meta,:card_index:,`:card_index:`,Metadata  
performance,:rocket:,`:rocket:`,Improve performance  
prettify,:lipstick:,`:lipstick:`,improving the format/structure of the code
readme,:memo:,`:memo:`,edit/update README
refactoring,:package:,`:package:`,Refactoring  
remove,:skull:,`:skull:`,removing code or feature
tag,:bookmark:,`:bookmark:`,Version Tag  
test,:rotating_light:,`:rotating_light:`,Tests  
tooling,:wrench:,`:wrench:`,Tooling  
upgrad,:arrow_up:,`:arrow_up:`,upgrading a module / component
version,:checkered_flag:,`:checkered_flag:`,bumping version number
wip,:construction:,`:construction:`,Work in Progress
